gid,role,role_score,cluster_id,priority_score,evidence,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pass_through,pagerank,betweenness,n_seed_payers,n_seed_upstream,component_id,depth,is_seed,truncated,verified_sink
100000000343175100,coordinator,0.8600,10,0.4573,"координация: вход 8/179 тыс KZT, выход 31/4.0 млн KZT; посредничество top-3% (5525), кластеров на входе 4, seed выше по цепочке 4",8,31,178712,4000039,14,33,22.3826,0.000709762,5524.65,1,4,0,0,true,false,false
100000000456947100,peripheral,1.0000,69,0.0219,нет переводов ≥5000 KZT в июле; seed только по оперативной информации,0,0,0,0,0,0,-1.0000,0.000284037,0,0,0,16,0,true,false,false
100000000580561100,peripheral,1.0000,42,0.2392,"вход 2/28 тыс KZT, выход 3/1.5 млн KZT (пропуск 5318%): признаков роли нет",2,3,27980,1488077,3,13,53.1836,0.000828964,6,0,0,5,0,true,false,false
100000001415126100,peripheral,1.0000,17,0.2054,"вход 1/27 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",1,0,27000,0,1,0,0.0000,0.000407179,0,0,2,0,0,true,false,true
100000001429930100,peripheral,1.0000,12,0.1971,"вход 1/26 тыс KZT, выход 0/0 KZT (пропуск 0%): признаков роли нет",1,0,26000,0,1,0,0.0000,0.00034879,0,0,2,0,0,true,false,true
100000001616816100,peripheral,1.0000,7,0.3887,"вход 5/176 тыс KZT, выход 3/181 тыс KZT (пропуск 103%): признаков роли нет",5,3,176195,181326,12,10,1.0291,0.00241194,528.401,0,7,0,0,true,false,false
100000001732159100,peripheral,1.0000,36,0.3856,"вход 2/2.4 млн KZT, выход 4/1.5 млн KZT (пропуск 63%): признаков роли нет",2,4,2378100,1505966,30,23,0.6333,0.00108571,102.303,2,3,0,0,true,false,false
100000002527114100,distributor,0.6000,0,0.3526,"веер: 111 получателей, 113 переводов на 3.3 млн KZT; входов 3 на 129 тыс KZT",3,111,129000,3289249,4,113,25.4981,0.00080609,976,0,0,1,0,true,false,false
100000002916006100,peripheral,1.0000,17,0.0219,"вход 0/0 KZT, выход 1/32 тыс KZT (пропуск н/д): признаков роли нет",0,1,0,32000,0,1,-1.0000,0.000284037,0,0,0,0,0,true,false,false
100000003016635100,coordinator,0.9500,4,0.4762,"координация: вход 8/587 тыс KZT, выход 73/9.4 млн KZT; посредничество top-3% (36415), кластеров на входе 3, seed выше по цепочке 3",8,73,586981,9414081,36,151,16.0381,0.00118297,36414.8,0,3,0,0,true,false,false
100000003200071100,peripheral,1.0000,66,0.0219,"вход 0/0 KZT, выход 1/30 тыс KZT (пропуск н/д): признаков роли нет",0,1,0,30000,0,1,-1.0000,0.000284037,0,0,0,14,0,true,false,false
100000003265658100,peripheral,1.0000,70,0.0219,нет переводов ≥5000 KZT в июле; seed только по оперативной информации,0,0,0,0,0,0,-1.0000,0.000284037,0,0,0,17,0,true,false,false
100000003349739100,peripheral,1.0000,71,0.0219,нет переводов ≥5000 KZT в июле; seed только по оперативной информации,0,0,0,0,0,0,-1.0000,0.000284037,0,0,0,18,0,true,false,false
100000003684369100,coordinator,1.0000,2,0.4974,"координация: вход 24/3.8 млн KZT, выход 62/8.6 млн KZT; посредничество top-3% (11623), кластеров на входе 7, seed выше по цепочке 6",24,62,3848436,8588655,58,67,2.2317,0.00200688,11623.1,1,6,0,0,true,false,false
100000003770083100,peripheral,1.0000,72,0.0219,нет переводов ≥5000 KZT в июле; seed только по оперативной информации,0,0,0,0,0,0,-1.0000,0.000284037,0,0,0,19,0,true,false,false
100000003975102100,peripheral,1.0000,4,0.1898,"вход 1/26 тыс KZT, выход 2/88 тыс KZT (пропуск 345%): признаков роли нет",1,2,25650,88500,1,2,3.4503,0.000343486,29.85,0,1,0,0,true,false,false
100000003977183100,peripheral,1.0000,7,0.2760,"вход 2/124 тыс KZT, выход 4/766 тыс KZT (пропуск 619%): признаков роли нет",2,4,123800,766000,2,6,6.1874,0.00032961,8,1,1,0,0,true,false,false
100000004007116100,peripheral,0.6000,22,0.3187,"вход 3/765 тыс KZT, выход 4/148 тыс KZT (пропуск 19%): признаков роли нет",3,4,764704,148000,24,6,0.1935,0.000623732,2,0,0,2,0,true,false,false
100000004019124100,terminal,0.6900,4,0.3849,"конечный получатель: получил 193 тыс KZT от 3 (3 перев.), исходящих ≥5000 нет, хотя обход шёл дальше (колено 0)",3,0,193000,0,3,0,0.0000,0.00119475,0,2,5,0,0,true,false,true
100000004021459100,peripheral,1.0000,73,0.0219,нет переводов ≥5000 KZT в июле; seed только по оперативной информации,0,0,0,0,0,0,-1.0000,0.000284037,0,0,0,20,0,true,false,false
100000004041163100,peripheral,1.0000,17,0.2959,"вход 1/50 тыс KZT, выход 2/866 тыс KZT (пропуск 1732%): признаков роли нет",1,2,50000,866000,1,6,17.3200,0.00206713,118,1,8,0,0,true,false,false
